State and Local Tax Impact by Direct,,,,,,,
InstitutionReceipts,TransferType,Description,Employee Compensation,Proprietor Income,Tax on Production and Imports,Households,Corporations
12001,15007,Dividends,,,,,"$40,506"
12001,15014,Social Ins Tax- Employee Contribution,"$116,911",$0,,,
12001,15015,Social Ins Tax- Employer Contribution,"$206,052",,,,
12001,15020,TOPI: Sales Tax,,,"$14,670,282",,
12001,15021,TOPI: Property Tax,,,"$12,404,848",,
12001,15022,TOPI: Motor Vehicle Lic,,,"$372,697",,
12001,15023,TOPI: Severance Tax,,,"$28,671",,
12001,15024,TOPI: Other Taxes,,,"$798,365",,
12001,15025,TOPI: S/L NonTaxes,,,"$326,966",,
12001,15026,Corporate Profits Tax,,,,,"$201,747"
12001,15027,Personal Tax: Income Tax,,,,"$2,150,768",
12001,15029,Personal Tax: NonTaxes (Fines- Fees,,,,"$394,221",
12001,15030,Personal Tax: Motor Vehicle License,,,,"$129,807",
12001,15031,Personal Tax: Property Taxes,,,,"$44,322",
12001,15032,Personal Tax: Other Tax (Fish/Hunt),,,,"$75,825",
12001,99999,Total State and Local Tax,"$322,962",$0,"$28,601,830","$2,794,944","$242,252"
